<Name>	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
2257808 SR 4379 CD BROMBEER	DELETED				Stereoradio mit CD und Teleskopantenne	
2270380 AU357462 CD52USB/MP3 - DOLPHIN	DELETED				AU357462 CD52USB/MP3 - DOLPHIN	
2270381 AU357486 CD52USB/MP3 - HORSE	DELETED				TRAGBARES CD-R/RW-RADIO	
2270726 SCD 5950 SW	DELETED				CD/MP3 Radio mit USB, Kassettenspieler und 4 Lautsprecher	
2270728 SCD 5950 WE	DELETED				CD/MP3 Radio mit USB, Kassettenspieler und 4 Lautsprecher	
2270939 ORC 130	DELETED	"Produktmerkmale:

- CD/CD-R/CD-RW
- AM / FM Radio
- Digitale Anzeige
- AUX-IN"	"<header>Produktmerkmale:</header>

<body>- CD/CD-R/CD-RW</body>
<body>- AM / FM Radio</body>
<body>- Digitale Anzeige</body>
<body>- AUX-IN</body>"		ORC 130	
2289167 AZ 100C/12 PINK	DELETED				Freuen Sie sich über den hohen Bedienkomfort. Mit der kompakten und tragbaren Philips CD-Soundmachine können Sie Ihre Lieblingsmusik mit einfachen Bedienfunktionen genießen.	
2290524 GRB 2000 USB SILVER/BLACK	DELETED	"Radio mit CD-Player, MP3- und WMA-Musikwiedergabe
- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.
- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.
- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.
- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.
- USB 2.0 Anschluß."	"<header>Radio mit CD-Player, MP3- und WMA-Musikwiedergabe</header>
<body>- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.</body>
<body>- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.</body>
<body>- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.</body>
<body>- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.</body>
<body>- USB 2.0 Anschluß.</body>"		GRB 2000 USB SILVER/BLACK	
2290539 GRB 2000 USB PINK/SILVER	DELETED	"Radio mit CD-Player, MP3- und WMA-Musikwiedergabe
- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.
- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.
- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.
- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.
- USB 2.0 Anschluß."	"<header>Radio mit CD-Player, MP3- und WMA-Musikwiedergabe</header>
<body>- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.</body>
<body>- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.</body>
<body>- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.</body>
<body>- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.</body>
<body>- USB 2.0 Anschluß.</body>"		GRB 2000 USB PINK/SILVER	
2290547 GRB 2000 USB BLUE/SILVER	DELETED	"Radio mit CD-Player, MP3- und WMA-Musikwiedergabe
- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.
- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.
- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.
- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.
- USB 2.0 Anschluß."	"<header>Radio mit CD-Player, MP3- und WMA-Musikwiedergabe</header>
<body>- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.</body>
<body>- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.</body>
<body>- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.</body>
<body>- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.</body>
<body>- USB 2.0 Anschluß.</body>"		GRB 2000 USB BLUE/SILVER	
2290551 GRB 2000 USB BLACK/SILVER	DELETED	"Radio mit CD-Player, MP3- und WMA-Musikwiedergabe
- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.
- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.
- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.
- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.
- USB 2.0 Anschluß."	"<header>Radio mit CD-Player, MP3- und WMA-Musikwiedergabe</header>
<body>- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.</body>
<body>- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.</body>
<body>- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.</body>
<body>- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.</body>
<body>- USB 2.0 Anschluß.</body>"		GRB 2000 USB BLACK/SILVER	
2290552 GRB 2000 USB PEARL WHITE/SILVER	DELETED	"Radio mit CD-Player, MP3- und WMA-Musikwiedergabe
- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.
- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.
- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.
- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.
- USB 2.0 Anschluß."	"<header>Radio mit CD-Player, MP3- und WMA-Musikwiedergabe</header>
<body>- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.</body>
<body>- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.</body>
<body>- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.</body>
<body>- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.</body>
<body>- USB 2.0 Anschluß.</body>"		GRB 2000 USB PEARL WHITE/SILVER	
2290569 GRB 2000 USB TRAVERTINE/SILVER	DELETED	"Radio mit CD-Player, MP3- und WMA-Musikwiedergabe
- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.
- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.
- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.
- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.
- USB 2.0 Anschluß."	"<header>Radio mit CD-Player, MP3- und WMA-Musikwiedergabe</header>
<body>- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.</body>
<body>- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.</body>
<body>- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.</body>
<body>- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.</body>
<body>- USB 2.0 Anschluß.</body>"		GRB 2000 USB TRAVERTINE/SILVER	
2292138 SR 4380 SCHWARZ	ACTIVE	"Allgemein
DAB+/UKW-Stereoradio mit CD, inkl. USB-Port (zum Abspielen von z.B. MP3-Dateien), DAB+-Stereoradio zum Empfang digitaler Radiostationen, PLL-UKWRadio, 2-zeiliges Negativ-LCD-Display, AUX-IN*, Stereolautsprecher, Batteriefach, inkl. Netzanschlusskabel

DAB+ Radio
Großes und vielfältiges Programmangebot durch digitalen, störungsfreien Empfang; hoher Bedienkomfort, 10 Senderspeicher, 2-zeiliges beleuchtetes LCD-Display mit Anzeige von Zusatzinformationen: Titel, Sender

CD-Player
Toploading-CD-Player, CD/CD-R/CD-RW- Wiedergabe, CD-Titel programmierbar, Titelsuchlauf/-sprung, Wiederholfunktion (1/alle), Play/Pause/Stopp

PLL-UKW-Radio
10 Senderspeicher für UKW, LCD-Display für digitale Frequenzanzeige, Teleskopantenne

Weckfunktion
2 Weckzeiten, Weckton wahlweise über Radio oder Signalton, Einschlafautomatik, Intervall-Weckautomatik (Snooze)"	"<header>Allgemein</header>
<body>DAB+/UKW-Stereoradio mit CD, inkl. USB-Port (zum Abspielen von z.B. MP3-Dateien), DAB+-Stereoradio zum Empfang digitaler Radiostationen, PLL-UKWRadio, 2-zeiliges Negativ-LCD-Display, AUX-IN*, Stereolautsprecher, Batteriefach, inkl. Netzanschlusskabel</body>

<header>DAB+ Radio</header>
<body>Großes und vielfältiges Programmangebot durch digitalen, störungsfreien Empfang; hoher Bedienkomfort, 10 Senderspeicher, 2-zeiliges beleuchtetes LCD-Display mit Anzeige von Zusatzinformationen: Titel, Sender</body>

<header>CD-Player</header>
<body>Toploading-CD-Player, CD/CD-R/CD-RW- Wiedergabe, CD-Titel programmierbar, Titelsuchlauf/-sprung, Wiederholfunktion (1/alle), Play/Pause/Stopp</body>

<header>PLL-UKW-Radio</header>
<body>10 Senderspeicher für UKW, LCD-Display für digitale Frequenzanzeige, Teleskopantenne</body>

<header>Weckfunktion</header>
<body>2 Weckzeiten, Weckton wahlweise über Radio oder Signalton, Einschlafautomatik, Intervall-Weckautomatik (Snooze)</body>"		AEG SR 4380 schwarz DAB+ Stereoradio CD/DAB+/USB/AUX-IN	
2294409 SCD 70	ACTIVE	Tragbare Boombox mit DAB+ Radio und MP3 Wiedergabe von USB oder CD	Tragbare Boombox mit DAB+ Radio und MP3 Wiedergabe von USB oder CD		Tragbare Boombox mit DAB+ Radio	
2305595 GRB 2000 USB YELLOW SUMMER/BLACK	ACTIVE	"Radio mit CD-Player, MP3- und WMA-Musikwiedergabe
- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.
- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.
- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.
- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.
- USB 2.0 Anschluß."	"<header>Radio mit CD-Player, MP3- und WMA-Musikwiedergabe</header>
<body>- UKW Empfangsteil mit PLL-Frequenz- Abstimmung und 10 Senderspeichern.</body>
<body>- Hervorragende Akustik durch hochwertige Komponenten und Ultra Bass System.</body>
<body>- Kleine und äüßerst handliche Gehäuseform im attraktiven Soft-Design.</body>
<body>- Der integrierte CD-Player ist geeignet für die Wiedergabe von CD-Rs/CD-RWs im CD-DA-, MP3- und WMA-Format.</body>
<body>- USB 2.0 Anschluß.</body>"		GRB 2000 USB YELLOW SUMMER/BLACK	
2306749 RCD 108 AV AVENGERS	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		RCD 108 AV AVENGERS	
2306751 RCD 108 DC DISNEY CARS	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht.	
2306752 RCD 108 DES MINIONS	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht.	
2306753 RCD 108 DP DISNEY PRINCESS	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht.	
2306754 RCD 108 FZ FROZEN	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht.	
2306756 RCD 108 SP SPIDER MAN	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht.	
2306757 RCD 108 SW STAR WARS	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht.	
2306760 RCD 108 UNI EINHORN	ACTIVE	Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem.	<body>Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das Kinderzimmer braucht. Durch den AUX IN Anschluss können Sie Ihrem Kind Stunden voller Spaß bereiten. Möchte Ihr Kind ein spannendes Hörbuch in aller Ruhe genießen, ist dies ebenfalls durch den vorhandenen Kopfhöreranschluss kein Problem</body>.		"Dieses Radio bietet mit seiner zusätzlichen CD Funktion, dem
kinderfreundlichem Design, sowie einem AUX IN Anschluss alles was man für das
Kinderzimmer braucht. 

"	
2306761 RCDK 100 DC DISNEY CARS	ACTIVE	"Toller und handlicher Karaoke CD-Player für die kleinen Rockstars. 

Mit 2 Mikrofonen. LEXIBOOK Karaoke CD-Player im kindgerechten Design,  handlich und leicht Transportbar mit Handgriff auf dem CD-Player. CD-Öffnung auf der Frontseite des CD-Players. LED Display zur Anzeige der aktuellen Lied-Nummer. AUX-IN Buchse für das Abspielen von Smartphones
und ähnlichem. Repeat-Taste um damit der Karaoke Spaß nie endet. Batteriebetrieben (Batterien nicht enthalten)."	"<header>Toller und handlicher Karaoke CD-Player für die kleinen Rockstars. </header>

<body>Mit 2 Mikrofonen. LEXIBOOK Karaoke CD-Player im kindgerechten Design,  handlich und leicht Transportbar mit Handgriff auf dem CD-Player. CD-Öffnung auf der Frontseite des CD-Players. LED Display zur Anzeige der aktuellen Lied-Nummer. AUX-IN Buchse für das Abspielen von Smartphones und ähnlichem. Repeat-Taste um damit der Karaoke Spaß nie endet. Batteriebetrieben (Batterien nicht enthalten).</body>"		Toller und handlicher Karaoke CD-Player für die kleinen Rockstars um mit Ihre Stars gemeinsam loszulegen!	
2306762 RCDK 100 DES MINIONS	ACTIVE	"Toller und handlicher Karaoke CD-Player für die kleinen
Rockstars. 
Mit 2 Mikrofonen. LEXIBOOK Karaoke CD-Player im
kindgerechten Design,  handlich und
leicht Transportbar mit Handgriff auf dem CD-Player. 
CD-Öffnung auf der Frontseite des CD-Players. LED Display zur
Anzeige der aktuellen Lied-Nummer. AUX-IN Buchse für das Abspielen von Smartphones
und ähnlichem. Repeat-Taste um damit der Karaoke Spaß nie endet.
Batteriebetrieben (Batterien nicht enthalten)."	"<header>Toller und handlicher Karaoke CD-Player für die kleinen Rockstars. </header>

<body>Mit 2 Mikrofonen. LEXIBOOK Karaoke CD-Player im kindgerechten Design,  handlich und leicht Transportbar mit Handgriff auf dem CD-Player. CD-Öffnung auf der Frontseite des CD-Players. LED Display zur Anzeige der aktuellen Lied-Nummer. AUX-IN Buchse für das Abspielen von Smartphones und ähnlichem. Repeat-Taste um damit der Karaoke Spaß nie endet. Batteriebetrieben (Batterien nicht enthalten).</body>"		Toller und handlicher Karaoke CD-Player für die kleinen Rockstars um mit Ihre Stars gemeinsam loszulegen!	
2306763 RCDK 100 DP DISNEY PRINCESS	ACTIVE	"Toller und handlicher Karaoke CD-Player für die kleinen
Rockstars. 
Mit 2 Mikrofonen. LEXIBOOK Karaoke CD-Player im
kindgerechten Design,  handlich und
leicht Transportbar mit Handgriff auf dem CD-Player. 
CD-Öffnung auf der Frontseite des CD-Players. LED Display zur
Anzeige der aktuellen Lied-Nummer. AUX-IN Buchse für das Abspielen von Smartphones
und ähnlichem. Repeat-Taste um damit der Karaoke Spaß nie endet.
Batteriebetrieben (Batterien nicht enthalten). "	"<header>Toller und handlicher Karaoke CD-Player für die kleinen Rockstars. </header>

<body>Mit 2 Mikrofonen. LEXIBOOK Karaoke CD-Player im kindgerechten Design,  handlich und leicht Transportbar mit Handgriff auf dem CD-Player. CD-Öffnung auf der Frontseite des CD-Players. LED Display zur Anzeige der aktuellen Lied-Nummer. AUX-IN Buchse für das Abspielen von Smartphones und ähnlichem. Repeat-Taste um damit der Karaoke Spaß nie endet. Batteriebetrieben (Batterien nicht enthalten).</body>"		Toller und handlicher Karaoke CD-Player für die kleinen Rockstars um mit Ihre Stars gemeinsam loszulegen!	
