<Name>	Category Relation Classification Reference	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1973992 BEOPLAY H6 BLUE STONE	314;2516;51;1136	ACTIVE	"<body>Die Over-Ear-Kopfhörer BeoPlay H6 sorgen für eine authentische Klangleistung, die sich durch saubere Mitten sowie ausgewogene Bässe und Höhen auszeichnet. Diese außergewöhnliche Audioqualität ist auf 40 mm große Treiber und kräftige Neodym-Magnete zurückzuführen, die so gestaltet sind, um eine optimale und ausgewogene Klangleistung zu liefern. Der geschlossene Kopfhörer verfügt innen außerdem über eine Bassöffnung, wodurch eine ausgewogene Bassleistung erzielt werden soll.</body>
<body>Optimaler Klang und ausgezeichnete Passform</body>

<body>Um das perfekte Klangerlebnis zu ermöglichen, führte B&O PLAY umfassende Studien zu Form und Gestaltung des menschlichen Ohrs durch, um die geeignete Form zu ermitteln, bei der der Ton aus den Kopfhörern selbst in der Umgebung kaum zu hören ist und jedes feine Detail der Musik unabhängig von der Lautstärke klar hörbar ist.</body>
<body>Hochwertige Materialien</body>

<body>Die Hauptteile des Kopfhörers sind aus eloxiertem Aluminium gefertigt. Damit ist der BeoPlay H6 nicht nur außergewöhnlich leicht, sondern auch besonders robust und kratzfest. Sogar der verstellbare Gleitbügel und die Abdeckung sind mit eloxiertem Aluminium ausgestattet, um das Design mit einem letzten eleganten Schliff zu vervollkommnen.</body>
<body>Ausdruck exzellenten Industriedesigns</body>

<body>Die Kopfhörer BeoPlay H6 wurden von dem dänischen Designer Jakob Wagner in Zusammenarbeit mit B&O PLAY gestaltet. Aufgrund seines beruflichen Werdegangs als Ingenieur und später als Industriedesigner war es ihm möglich, bei allen Praxisphasen im Designprozess mitzuwirken.</body>

<header>Höhepunkte:</header>
<body>-Besonders weiche, flexible Over-Ear-Kopfhörer</body>
<body>-Exzellente Klangleistung für ein herausragendes Klangerlebnis</body>
<body>-Hochwertige Materialien – Echtleder und eloxiertes Aluminium</body>
<body>-Kopfhörer beim Tragen um den Hals zusammenklappbar</body>
<body>-Kopfhörerbügel kann individuell an Kopfgröße angepasst werden</body>
<body>-Musik kann per Daisy-Chain-Funktionalität geteilt werden</body>
<body>-Inline-Mikrofonfernsteuerung mit 3 Tasten</body>"			BEOPLAY H6 BLUE STONE	
1978949 IHP-500-1 COMFORT HEADPHONES, BLACK-RED	1136;314	ACTIVE		Stereo-Kopfhörer, 2 m Kabellänge, verstellerbare Kopfbügel, weiche Ohrmuschel-Polsterung		IHP-500-1 COMFORT HEADPHONES, BLACK-RED	
1991337 AH-MM 300 EM SCHWARZ	314;8883	ACTIVE	"<header>Hochwertiges On Ear-Topmodell</header>
<body>Das im modernen europäischen Design gehaltene On-Ear-Modell AH-MM300 mit hochwertigen glasfaserverstärkten Hörermuscheln hat ein äußerst geringes Gewicht bei gleichzeitig hoher Steifigkeit, um Verzerrungen zu verhindern. Zusammen mit der FreeEdge-Membran und den hochwertigen Treibern sorgt diese Konstruktion für einen linearen Frequenzgang und beste klangliche Eigenschaften.</body>

<header>Keramikähnliche glasfaserverstärkte ellipsoide Hörermuscheln</header>
<body>Die sehr bequemen Hörermuscheln sind aus einem hochwertigen glasfaserverstärkten Kunststoff mit geringem Gewicht bei gleichzeitig hoher Steifigkeit ausgestattet, um Verzerrungen zu verhindern. Die keramikähnliche Beschichtung sorgt zudem für einen modernen eleganten Look und ein hohes Maß an Kratzfestigkeit.</body>

<header>Aluminium-Kopfbügel</header>
<body>Die Hörermuscheln sind über einen in der Länge einstellbaren Kopfbügel aus einer Aluminium-Legierung mit einem leichten, bequem mit speziellem Memory Schaumstoff gepolsterten Kopfband verbunden. Zudem lassen sich die Hörermuscheln am Aluminium-Kopfbügel auch umklappen und dann bequem in der mitgelieferten Tragetasche transportieren.</body>

<header>40 mm Kohlefaser/Papier- Membran mit FreeEdge Neodym-Magneten</header>
<body>Der AH-MM300 besitzt 40 mm-Treiber mit fortschrittlicher Kohlefaser/Papier-Verbund- Free Edge-Membran und Neodym-Magneten. Diese Denon exklusive Konstruktion sorgt für hohe Verzerrungsarmut und einen Frequenzbereich bis hin zu 40 kHz.</body>"			AH-MM 300 EM	
1991338 AH-MM 200 BKEM SCHWARZ	314;1136	ACTIVE	"<header>Hochwertiger mobiler On Ear-Kopfhörer</header>
<body>Das in Schwarz oder Weiß lieferbare On Ear-Modell AH-MM200 verfügt über kräftige 30-mm-Treiber, die eine dreilagige Membran für einen breiten Frequenzbereich und beste Dynamik-Eigenschaften besitzen. Zusammen mit den Neodym-Magneten sorgt diese Konstruktion für ein erstklassiges Hörerlebnis.</body>

<header>Keramikähnliche glasfaserverstärkte ellipsoide Hörermuscheln</header>
<body>Die sehr bequemen Hörermuscheln sind aus einem hochwertigenglasfaserverstärkten Kunststoff mit geringem Gewicht bei gleichzeitighoher Steifigkeit ausgestattet, um Verzerrungen zu verhindern.Die keramikähnliche Beschichtung sorgt zudem für einenmodernen eleganten Look und ein hohes Maß an Kratzfestigkeit.</body>

<header>Dreilagige 30mm-Membran mit Neodym-Magneten</header>
<body>Der AH-MM200 verfügt über 30 mm-Treiber mit unseren exklusiven dreilagigen Membranen und Neodym-Magneten. Zusammen mit der Music Maniac-Soundabstimmung sorgt dies für ein besonders natürliches Klangbild.</body>"			AH-MM 200 BKEM	
1991339 AH-MM 200 WTEM WEISS	314;1136	ACTIVE	"<header>Hochwertiger mobiler On Ear-Kopfhörer</header>
<body>Das in Schwarz oder Weiß lieferbare On Ear-Modell AH-MM200 verfügt über kräftige 30-mm-Treiber, die eine dreilagige Membran für einen breiten Frequenzbereich und beste Dynamik-Eigenschaften besitzen. Zusammen mit den Neodym-Magneten sorgt diese Konstruktion für ein erstklassiges Hörerlebnis.</body>
<header></header>
<header>Keramikähnliche glasfaserverstärkte ellipsoide Hörermuscheln</header>
<body>Die sehr bequemen Hörermuscheln sind aus einem hochwertigenglasfaserverstärkten Kunststoff mit geringem Gewicht bei gleichzeitighoher Steifigkeit ausgestattet, um Verzerrungen zu verhindern.Die keramikähnliche Beschichtung sorgt zudem für einenmodernen eleganten Look und ein hohes Maß an Kratzfestigkeit.</body>

<header>Dreilagige 30mm-Membran mit Neodym-Magneten</header>
<body>Der AH-MM200 verfügt über 30 mm-Treiber mit unseren exklusiven dreilagigen Membranen und Neodym-Magneten. Zusammen mit der Music Maniac-Soundabstimmung sorgt dies für ein besonders natürliches Klangbild.</body>"			AH-MM 200 WTEM	
1994366 IHP 1400 RD ROT	1136;1142;314	ACTIVE				On-Ear Kopfhörer IHP 1400 RD.	
1994367 IHP 1400 BE BLAU	1136;1142;314	ACTIVE				On-Ear Kopfhörer IHP 1400, blau.	
1994368 IHP 1400 OL OLIVE	314;1142;1136	ACTIVE		<body>Design-Kopfhörer - Hoher Tragekomfort - Kabel mit Textilmantel - Vergoldeter 3.5mm Stecker - Gummiertes Gehäuse</body>		IHP 1400 OL OLIVE	
1994365 IHP 1400 PI PINK	1136;1142;314	ACTIVE				On-Ear Kopfhörer IHP 1400 PI.	
2009722 IHP-1400-BK STYLISH HEADPHONE BLACK	314;1136;1142	ACTIVE	Design-Kopfhörer mit hohem Tragekomfort	<body>Design-Kopfhörer mit hohem Tragekomfort</body>		IHP-1400-BK STYLISH HEADPHONE BLACK	
2009723 IHP-1400-WT STYLISH HEADPHONE WHITE	314;1136;1142	ACTIVE	Design-Kopfhörer mit hohem Tragekomfort	<body>Design-Kopfhörer mit hohem Tragekomfort</body>		IHP-1400-WT STYLISH HEADPHONE WHITE	
2012021 IHP-1400-LC STYLISH HEADPHONE LILA	314;1136;1142	ACTIVE				IHP-1400-LC STYLISH HEADPHONE LILA	
2012022 IHP-1400-OR STYLISH HEADPHONE ORANGE	1136;1142;314	ACTIVE				IHP-1400-OR STYLISH HEADPHONE ORANGE	
2012023 IHP-1400-GN STYLISH HEADPHONE GREEN	1136;1142;314	ACTIVE				IHP-1400-GN STYLISH HEADPHONE GREEN	
2012024 IHP-1400-BG STYLISH HEADPHONE BLUE-GREY	1136;1142;314	ACTIVE				IHP-1400-BG STYLISH HEADPHONE BLUE-GREY	
2037101 HD 461G	314;1136;1142	ACTIVE	Wenn Sie nach atemberaubendem Klang und stilvollem Design suchen, ist der HD 461 ganz klar die richtige Wahl. Hochwertige Schallwandler produzieren ein großartiges Klangbild mit druckvollem Bass. Das moderne ergonomische Design sorgt gleichzeitig für hohen Tragekomfort und attraktive Optik. Darüber hinaus ermöglicht Ihnen das abnehmbare, einseitig geführte Kabel mit In-Line-Fernbedienung, sowohl Ihre Musik zu genießen, als auch ganz bequem Telefongespräche zu führen. Das geschlossene, ohrumschließende Design sorgt dabei in jedem Fall für eine maximale Dämpfung der Umgebungsgeräusche. Holen Sie mehr aus Ihrem mobilen Audiogerät heraus, mit dem Sennheiser HD 461.			HD 461G	
2143709 4091169 MAJOR II BROWN ANDROID	314;1144;1137;1142	ACTIVE	Marshall Headphones verbinden herausragende Klangeigenschaften mit dem Lifestyle der britischen Ampschmiede ganz nach dem Motto „fashion meets function“. Der Marshall Major-Kopfhörer macht dem Markennamen alle Ehre. Neben seinen überzeugenden akustischen Eigenschaften ist er ein solides Arbeitsgerät, das für den täglichen Nonstop-Einsatz entwickelt wurde. Seine geschlossenen Schalen mit den weichen Kissen sorgen dabei für ungetrübtes Hörvergnügen in Hifi-Qualität. Eine leichte Anhebung der hohen Frequenzen schafft ein besonders natürliches Klangverhalten, das den veränderten akustischen Verhältnissen des Kopfhörerbetriebes Rechnung trägt. Für einfachen Transport sind die Headphones faltbar aufgebaut.	<body>Marshall Headphones verbinden herausragende Klangeigenschaften mit dem Lifestyle der britischen Ampschmiede ganz nach dem Motto „fashion meets function“. Der Marshall Major-Kopfhörer macht dem Markennamen alle Ehre. Neben seinen überzeugenden akustischen Eigenschaften ist er ein solides Arbeitsgerät, das für den täglichen Nonstop-Einsatz entwickelt wurde. Seine geschlossenen Schalen mit den weichen Kissen sorgen dabei für ungetrübtes Hörvergnügen in Hifi-Qualität. Eine leichte Anhebung der hohen Frequenzen schafft ein besonders natürliches Klangverhalten, das den veränderten akustischen Verhältnissen des Kopfhörerbetriebes Rechnung trägt. Für einfachen Transport sind die Headphones faltbar aufgebaut.</body>		4091169 MAJOR II BROWN ANDROID	
2143711 4091171 MONITOR BLACK ANDROID	314;1144;1137;1140	ACTIVE	"Das Topmodell der Marshall-Headphones steht für solide Verarbeitung und heizt mit seiner Klangqualität den etablierten Studiokopfhörern im Direktvergleich gehörig ein. Seine schlanke Over-Ear-Konstruktion deckt die Ohrmuschel vollständig ab, so dass sich der Hörer voll auf den Musikgenuss konzentrieren kann. Das multifunktionale Anschlusskabel ist mit Mikrofon und Remote-Taste versehen. Es ist komplett abnehmbar, so dass es sowohl links als auch rechts einsetzbar ist. Dabei kann sich an der freien 3.5 mm Buchse ein weiterer Hörer einklinken. Der Monitor lässt sich zum sicheren Transport auf ein kleines Packmaß zusammenfalten.
Mit der Marshall-typischen Power und Performance liefert der Monitor tiefe, straffe Bässe, einen weitreichenden Hochtonbereich und natürliche, ausgewogene Mitten. Die speziell konstruierten 40 mm Treiber decken dabei den kompletten Frequenzbereich ab. Selbst bei hohen Wiedergabelautstärken bleibt der Sound dynamisch, druckvoll und definiert. Mit dem F.T.F.-System kann der User sich seinen Sound ganz nach Geschmack anpassen. In der mitgelieferten Tragetasche mit aufgesticktem Marshall-Logo kann der gefaltete Monitor transportiert werden. Das Mikrofon und der Remote-Schalter ermöglichen die sofortige Gesprächsannahme, falls Anrufe während des Musikhörens eingehen."	"<body>Das Topmodell der Marshall-Headphones steht für solide Verarbeitung und heizt mit seiner Klangqualität den etablierten Studiokopfhörern im Direktvergleich gehörig ein. Seine schlanke Over-Ear-Konstruktion deckt die Ohrmuschel vollständig ab, so dass sich der Hörer voll auf den Musikgenuss konzentrieren kann. Das multifunktionale Anschlusskabel ist mit Mikrofon und Remote-Taste versehen. Es ist komplett abnehmbar, so dass es sowohl links als auch rechts einsetzbar ist. Dabei kann sich an der freien 3.5 mm Buchse ein weiterer Hörer einklinken. Der Monitor lässt sich zum sicheren Transport auf ein kleines Packmaß zusammenfalten.</body>
<body>Mit der Marshall-typischen Power und Performance liefert der Monitor tiefe, straffe Bässe, einen weitreichenden Hochtonbereich und natürliche, ausgewogene Mitten. Die speziell konstruierten 40 mm Treiber decken dabei den kompletten Frequenzbereich ab. Selbst bei hohen Wiedergabelautstärken bleibt der Sound dynamisch, druckvoll und definiert. Mit dem F.T.F.-System kann der User sich seinen Sound ganz nach Geschmack anpassen. In der mitgelieferten Tragetasche mit aufgesticktem Marshall-Logo kann der gefaltete Monitor transportiert werden. Das Mikrofon und der Remote-Schalter ermöglichen die sofortige Gesprächsannahme, falls Anrufe während des Musikhörens eingehen.</body>"		4091171 MONITOR BLACK ANDROID	
2188983 SP3876CA KEF M400 RACING BLUE	314;1144;1136;1137;1142	ACTIVE	"HOCHAUFLÖSENDER KLANG
Sie wissen - wir sind von hochauflösendem Klang geradezu besessen. Daher ahnen Sie es sicherlich schon: die Schönheit des M400 geht sehr viel tiefer, als sich auf den ersten Blick erkennen lässt. Mit seinem ultraleichten 40 mm-Neodym-Treiber und seiner Schwingspule aus kupferbeschichtetem Aluminiumdraht (CCAW) vermittelt der KEF M400 einen perfekten Eindruck der ursprünglichen Darbietung: knackige, äußerst detaillierte Höhen, nahtlose und fließende Mitteltöne und saubere, intensive Bässe. Musik, die sich fühlen lässt - und so realistisch, dass man sie fast berühren kann. Ihre Lieblingsmusik hat so nie so gut geklungen.

DESIGN IN PRÄZISION
Für einen hervorragenden Tragekomfort besitzt der M400 äußerst bequeme ohraufliegende Ohrpolster und ein lederbezogenes Kopfband. Der Rahmen mit unsichtbarem Scharnier ist aus feinbearbeitetem Aluminiumguss gefertigt und in vier kontraststarken, seidigen Premium-Ausführungen erhältlich: Racing Blue, Sunset Orange, Deep Black oder Champagne White. 

AUSGEZEICHNETER KOMFORT UND OPTIMALE GERÄUSCHISOLATION
Die an Kugelgelenken aufgehängten-Ohrpolster sind mit hochdichtem Memory-Schaum gepolstert und mit weichem, schweißbeständigem Protein-Leder beschichtet. Sie passen sich genau an die Form Ihrer Ohren an und bieten eine effektive Abdichtung, die nicht nur Außengeräusche abschirmt, sondern auch Klangverluste verhindert. Der leichte, robuste Aluminiumrahmen bietet genau das richtige Maß an sanftem Druck, so dass Sie Ihre Musik so lange bequem genießen können, wie Sie wollen.

FÜR ALL IHRE GERÄTE GEEIGNET
Der M400 ist für sämtliche Apple- sowie auch für die meisten sonstigen digitalen Geräte geeignet. Er ist mit einem integrierten Mikrofon und einer Fernbedienung an einem abnehmbaren Kabel ausgestattet, so dass Sie die Wiedergabefunktionen bedienen oder zwischen Anrufen und Musik hin- und herschalten können. Mit seinem diskreten Scharnier lässt sich der Rahmen sauber zusammenklappen und verstauen, wenn Sie ihn gerade nicht benötigen. Der M400 schützt Sie, wie für KEF-Kopfhörer typisch, gemäß dem CENELEC-Standard vor übermäßigem Schalldruck. Vollendete Klangqualität dank Innovationen von KEF. Für Robustheit und erstklassigen Komfort entworfen. Und mit einem Flair für Design, das andere Kopfhörer langweilig erscheinen lässt. Zu diesem Preis kann ihm niemand das Wasser reichen."	"<header>HOCHAUFLÖSENDER KLANG</header>
<body>Sie wissen - wir sind von hochauflösendem Klang geradezu besessen. Daher ahnen Sie es sicherlich schon: die Schönheit des M400 geht sehr viel tiefer, als sich auf den ersten Blick erkennen lässt. Mit seinem ultraleichten 40 mm-Neodym-Treiber und seiner Schwingspule aus kupferbeschichtetem Aluminiumdraht (CCAW) vermittelt der KEF M400 einen perfekten Eindruck der ursprünglichen Darbietung: knackige, äußerst detaillierte Höhen, nahtlose und fließende Mitteltöne und saubere, intensive Bässe. Musik, die sich fühlen lässt - und so realistisch, dass man sie fast berühren kann. Ihre Lieblingsmusik hat so nie so gut geklungen.</body>

<header>DESIGN IN PRÄZISION</header>
<body>Für einen hervorragenden Tragekomfort besitzt der M400 äußerst bequeme ohraufliegende Ohrpolster und ein lederbezogenes Kopfband. Der Rahmen mit unsichtbarem Scharnier ist aus feinbearbeitetem Aluminiumguss gefertigt und in vier kontraststarken, seidigen Premium-Ausführungen erhältlich: Racing Blue, Sunset Orange, Deep Black oder Champagne White. </body>

<header>AUSGEZEICHNETER KOMFORT UND OPTIMALE GERÄUSCHISOLATION</header>
<body>Die an Kugelgelenken aufgehängten-Ohrpolster sind mit hochdichtem Memory-Schaum gepolstert und mit weichem, schweißbeständigem Protein-Leder beschichtet. Sie passen sich genau an die Form Ihrer Ohren an und bieten eine effektive Abdichtung, die nicht nur Außengeräusche abschirmt, sondern auch Klangverluste verhindert. Der leichte, robuste Aluminiumrahmen bietet genau das richtige Maß an sanftem Druck, so dass Sie Ihre Musik so lange bequem genießen können, wie Sie wollen.</body>

<header>FÜR ALL IHRE GERÄTE GEEIGNET</header>
<body>Der M400 ist für sämtliche Apple- sowie auch für die meisten sonstigen digitalen Geräte geeignet. Er ist mit einem integrierten Mikrofon und einer Fernbedienung an einem abnehmbaren Kabel ausgestattet, so dass Sie die Wiedergabefunktionen bedienen oder zwischen Anrufen und Musik hin- und herschalten können. Mit seinem diskreten Scharnier lässt sich der Rahmen sauber zusammenklappen und verstauen, wenn Sie ihn gerade nicht benötigen. Der M400 schützt Sie, wie für KEF-Kopfhörer typisch, gemäß dem CENELEC-Standard vor übermäßigem Schalldruck. Vollendete Klangqualität dank Innovationen von KEF. Für Robustheit und erstklassigen Komfort entworfen. Und mit einem Flair für Design, das andere Kopfhörer langweilig erscheinen lässt. Zu diesem Preis kann ihm niemand das Wasser reichen.</body>"		SP3876CA KEF M400 RACING BLUE	
1928501 S6HSGY-410 HEADSET HESH 2 RASTA/GREEN/BLACK W/MIC	314;1136	ACTIVE	"Der Hesh 2 von Skullcandy ist ein hervorragender Kopfhörer, dessen geschlossene Bauweise mit Kunstleder-Ohrpolstern für beste Trageeigenschaften sorgt. Die Ästhetik ist elegant und stylisch, während das konische Over-Ear-Gehäuse mit seinem kräftigen Sound für ein pures Audio-Erlebnis garantiert  Die Sound-Treiber des Skullcandy Hesh sind titanbeschichtet und sorgen für geringe mechanische Verzerrungen und satte Bassleistung! Die parabolisch geformten Ohrmuscheln des Hesh von Skullcandy reflektieren den Schall statt ihn nach draußen zu lassen. Das schafft einen angenehmen, klaren und räumlichen Klang und der Klinkenstecker ist vergoldet! Durch die Verwendung des In-Line-Microfon verfügen Sie zusätzlich über erstklassige Features wie Volume Control, Anruf Annahme, Play/Pause Taste, Track Control. Ein abnehmbares Kabel und die im Lieferumfang enthaltene Reisetasche, sorgen für größte Mobilität. 


Features:

- geschlossene Bauweise mit Kunstlederohrpolstern
- vergoldeter 3,5 mm Klinkenstecker
- abnehmbares Kabel mit Mic1
- Frequenz: 20 Hz - 20 kHz
- 105 dB (1mW/500Hz)
- Impedanz: 35 Ohm
- Kabellänge: 1,20 m
- Lautsprecher-Durchmesser: 50 mm
- Inklusive Satin-Reisetasche"	"<body>Der Hesh 2 von Skullcandy ist ein hervorragender Kopfhörer, dessen geschlossene Bauweise mit Kunstleder-Ohrpolstern für beste Trageeigenschaften sorgt. Die Ästhetik ist elegant und stylisch, während das konische Over-Ear-Gehäuse mit seinem kräftigen Sound für ein pures Audio-Erlebnis garantiert  Die Sound-Treiber des Skullcandy Hesh sind titanbeschichtet und sorgen für geringe mechanische Verzerrungen und satte Bassleistung! Die parabolisch geformten Ohrmuscheln des Hesh von Skullcandy reflektieren den Schall statt ihn nach draußen zu lassen. Das schafft einen angenehmen, klaren und räumlichen Klang und der Klinkenstecker ist vergoldet! Durch die Verwendung des In-Line-Microfon verfügen Sie zusätzlich über erstklassige Features wie Volume Control, Anruf Annahme, Play/Pause Taste, Track Control. Ein abnehmbares Kabel und die im Lieferumfang enthaltene Reisetasche, sorgen für größte Mobilität. </body>
<header></header>
<header>Features:</header>
<body>- geschlossene Bauweise mit Kunstlederohrpolstern</body>
<body>- vergoldeter 3,5 mm Klinkenstecker</body>
<body>- abnehmbares Kabel mit Mic1</body>
<body>- Frequenz: 20 Hz - 20 kHz</body>
<body>- 105 dB (1mW/500Hz)</body>
<body>- Impedanz: 35 Ohm</body>
<body>- Kabellänge: 1,20 m</body>
<body>- Lautsprecher-Durchmesser: 50 mm</body>
<body>- Inklusive Satin-Reisetasche</body>"		S6HSGY-410 HEADSET HESH 2 RASTA/GREEN/BLACK W/MIC	
